Class Name,Objects,Shallow Heap,Retained Heap,Percentage of Retained Heap
java.awt.color.ICC_Profile$1,0,0,0,0.001
com.sun.jmx.remote.internal.ArrayNotificationBuffer$5,0,0,0,0.001
sun.awt.image.PixelConverter$Xbgr,0,0,0,0.001
com.sun.jmx.mbeanserver.MBeanInstantiator,0,0,0,0.001
sun.misc.FloatingDecimal$1,0,0,0,0.001
sun.awt.image.PixelConverter$Ushort4444Argb,0,0,0,0.001
sun.awt.image.PixelConverter$Ushort555Rgbx,0,0,0,0.001
sun.awt.image.PixelConverter$Xrgb,0,0,0,0.001
com.sun.jmx.mbeanserver.SecureClassLoaderRepository,0,0,0,0.001
com.sun.jmx.remote.internal.ServerNotifForwarder$2,0,0,0,0.001
sun.awt.image.PixelConverter$Bgrx,0,0,0,0.001
com.sun.jmx.remote.internal.ArrayNotificationBuffer$ShareBuffer,0,0,0,0.001
sun.awt.image.PixelConverter$RgbaPre,0,0,0,0.001
java.awt.Dialog$ModalityType,0,0,0,0.001
sun.awt.image.PixelConverter$ByteGray,0,0,0,0.001
java.awt.ComponentOrientation,0,0,0,0.001
sun.awt.image.PixelConverter$ArgbPre,0,0,0,0.001
java.nio.charset.CoderResult,0,0,0,0.001
sun.awt.image.PixelConverter$Ushort555Rgb,0,0,0,0.001
sun.util.calendar.Gregorian,0,0,0,0.001
java.util.regex.Pattern$LastNode,0,0,0,0.001
java.util.Collections$EmptyMap,0,0,0,0.001
sun.management.ClassLoadingImpl,0,0,0,0.001
sun.awt.image.PixelConverter$Rgbx,0,0,0,0.001
javax.management.MBeanParameterInfo[],0,0,0,0.001
java.util.regex.Pattern$Node,0,0,0,0.001
sun.awt.image.PixelConverter$Rgba,0,0,0,0.001
com.sun.jmx.remote.internal.ArrayNotificationBuffer$BufferListener,0,0,0,0.001
java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue,0,0,0,0.001
java.awt.AlphaComposite,0,0,0,0.001
sun.management.ThreadImpl,0,0,0,0.001
sun.awt.SunHints$LCDContrastKey,0,0,0,0.001
sun.awt.image.PixelConverter$Argb,0,0,0,0.001
sun.rmi.runtime.RuntimeUtil,0,0,0,0.001
sun.awt.image.PixelConverter$ArgbBm,0,0,0,0.001
java.util.Collections$SingletonList,0,0,0,0.001
java.util.Currency,0,0,0,0.001
sun.awt.image.PixelConverter$Ushort565Rgb,0,0,0,0.001
sun.awt.image.PixelConverter,0,0,0,0.001
sun.management.CompilationImpl,0,0,0,0.001
java.lang.Module,23,1434,31145,0.001
sun.net.www.protocol.file.Handler,0,8,8,0.0
java.lang.Terminator$1,0,8,8,0.0
sun.java2d.pipe.ValidatePipe,0,0,0,0.0
sun.reflect.ReflectionFactory,0,0,0,0.0
sun.awt.windows.WInputMethodDescriptor,0,0,0,0.0
java.util.logging.Logging,0,0,0,0.0
java.awt.Component$AWTTreeLock,0,0,0,0.0
javax.swing.JComponent$1,0,0,0,0.0
java.util.Collections$EmptySet,0,0,0,0.0
sun.misc.Unsafe,0,0,0,0.0
java.io.File$1,0,0,0,0.0
javax.swing.plaf.basic.BasicPanelUI,0,0,0,0.0
com.sun.jmx.mbeanserver.MXBeanIntrospector,0,0,0,0.0
sun.awt.image.ImageWatched$Link,0,0,0,0.0
sun.awt.NullComponentPeer,0,0,0,0.0
sun.management.jmxremote.LocalRMIServerSocketFactory,0,0,0,0.0
sun.net.www.protocol.jar.JarFileFactory,0,0,0,0.0
sun.awt.DebugHelperStub,0,0,0,0.0
sun.java2d.Disposer,0,0,0,0.0
java.io.Console$1,0,0,0,0.0
sun.management.HotSpotDiagnostic,0,0,0,0.0
java.util.concurrent.ThreadPoolExecutor$AbortPolicy,0,0,0,0.0
java.lang.ApplicationShutdownHooks,0,0,0,0.0
javax.management.NotificationBroadcasterSupport$1,0,0,0,0.0
javax.swing.plaf.metal.MetalLabelUI,0,0,0,0.0
java.lang.module.ModuleDescriptor,24,1979,20026,0.0
